Primary Type,Description,Arrest,Beat,Community Area,,
BATTERY,SIMPLE,FALSE,2222,71,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,414,43,,
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,FALSE,631,44,,
ASSAULT,SIMPLE,TRUE,333,43,,
THEFT,OVER $500,FALSE,1934,6,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1821,8,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2513,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1123,27,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1622,15,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,622,71,,
NARCOTICS,POSS: COCAINE,TRUE,922,58,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2533,25,,
ASSAULT,SIMPLE,FALSE,621,71,,
BATTERY,SIMPLE,FALSE,632,44,,
ROBBERY,ARMED: HANDGUN,FALSE,925,61,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2524,22,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1123,27,,
THEFT,FROM BUILDING,FALSE,1932,7,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,212,35,,
THEFT,$500 AND UNDER,TRUE,823,66,,
THEFT,$500 AND UNDER,FALSE,1213,24,,
BURGLARY,FORCIBLE ENTRY,FALSE,1935,7,,
BATTERY,SIMPLE,FALSE,2212,75,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,2515,19,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1412,21,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,921,58,,
THEFT,OVER $500,FALSE,831,66,,
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,FALSE,2033,3,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,212,35,,
ROBBERY,ARMED: HANDGUN,FALSE,2221,71,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,722,69,,
THEFT,FROM BUILDING,FALSE,332,43,,
THEFT,OVER $500,FALSE,2511,18,,
CRIMINAL DAMAGE,TO PROPERTY,TRUE,2532,25,,
THEFT,FROM BUILDING,FALSE,2512,19,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,1021,29,,
ASSAULT,SIMPLE,FALSE,512,49,,
CRIMINAL TRESPASS,TO LAND,TRUE,924,61,,
BURGLARY,FORCIBLE ENTRY,FALSE,324,43,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,834,70,,
ASSAULT,SIMPLE,FALSE,225,40,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,2532,25,,
OTHER OFFENSE,OTHER VEHICLE OFFENSE,FALSE,1512,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2222,73,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,2532,25,,
THEFT,OVER $500,FALSE,2511,18,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1024,29,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,332,43,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,2031,4,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1121,23,,
ASSAULT,SIMPLE,FALSE,1522,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1924,6,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,225,40,,
ASSAULT,SIMPLE,TRUE,825,66,,
THEFT,$500 AND UNDER,FALSE,1221,24,,
THEFT,$500 AND UNDER,FALSE,731,69,,
THEFT,OVER $500,FALSE,2511,18,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,623,69,,
BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,TRUE,711,68,,
THEFT,RETAIL THEFT,FALSE,1432,22,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1021,29,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,933,61,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,1824,8,,
THEFT,RETAIL THEFT,TRUE,111,32,,
NARCOTICS,MANU/DELIVER: HEROIN (WHITE),TRUE,1132,26,,
ROBBERY,ARMED: HANDGUN,FALSE,423,46,,
OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,TRUE,2535,23,,
ASSAULT,SIMPLE,FALSE,612,71,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,524,53,,
BURGLARY,UNLAWFUL ENTRY,FALSE,833,65,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1432,22,,
BATTERY,AGGRAVATED: HANDGUN,FALSE,624,69,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,1235,31,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,825,66,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,824,63,,
BATTERY,SIMPLE,TRUE,2032,3,,
ASSAULT,SIMPLE,FALSE,2211,74,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,822,63,,
ASSAULT,SIMPLE,FALSE,512,50,,
THEFT,$500 AND UNDER,FALSE,1411,21,,
THEFT,OVER $500,FALSE,1031,30,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,631,44,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1933,6,,
THEFT,OVER $500,FALSE,1914,3,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,112,32,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1224,28,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1512,25,,
BATTERY,SIMPLE,FALSE,2022,77,,
BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,FALSE,1934,6,,
NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,TRUE,1533,25,,
THEFT,$500 AND UNDER,TRUE,122,32,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1011,29,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1014,29,,
THEFT,$500 AND UNDER,FALSE,731,69,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,513,49,,
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,FALSE,331,43,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,831,66,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,434,51,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,231,40,,
BATTERY,AGGRAVATED: OTHER DANG WEAPON,FALSE,1032,30,,
OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,TRUE,321,42,,
NARCOTICS,POSS: CRACK,TRUE,2534,23,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,733,68,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,714,67,,
BATTERY,SIMPLE,FALSE,322,69,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1811,7,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,232,40,,
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,FALSE,1211,24,,
NARCOTICS,POSS: PCP,TRUE,1532,25,,
BATTERY,SIMPLE,FALSE,513,49,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,1113,26,,
THEFT,$500 AND UNDER,FALSE,2521,19,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,833,65,,
BURGLARY,FORCIBLE ENTRY,FALSE,822,62,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,423,46,,
ASSAULT,SIMPLE,FALSE,1513,25,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1813,7,,
THEFT,OVER $500,FALSE,1624,15,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1121,23,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2524,22,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1732,16,,
CRIMINAL TRESPASS,TO LAND,TRUE,533,54,,
KIDNAPPING,AGGRAVATED,FALSE,124,28,,
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,623,69,,
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,431,51,,
THEFT,$500 AND UNDER,FALSE,412,46,,
BATTERY,SIMPLE,FALSE,1021,29,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,431,51,,
BATTERY,AGGRAVATED: OTHER DANG WEAPON,FALSE,1011,29,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1121,23,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,321,42,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,621,69,,
ROBBERY,ARMED: HANDGUN,FALSE,711,68,,
ROBBERY,ATTEMPT: ARMED-HANDGUN,FALSE,621,69,,
DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,TRUE,1113,25,,
ASSAULT,SIMPLE,FALSE,1524,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,512,49,,
BURGLARY,FORCIBLE ENTRY,FALSE,813,64,,
THEFT,RETAIL THEFT,FALSE,1922,6,,
THEFT,OVER $500,FALSE,133,35,,
BATTERY,SIMPLE,FALSE,1821,8,,
THEFT,FROM BUILDING,FALSE,511,49,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,823,66,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2223,71,,
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,FALSE,131,33,,#NAME?
THEFT,$500 AND UNDER,FALSE,1212,24,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1733,16,,
THEFT,OVER $500,FALSE,614,71,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,831,66,,
THEFT,$500 AND UNDER,FALSE,813,56,,
THEFT,OVER $500,FALSE,1935,7,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,1513,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1422,22,,
THEFT,OVER $500,FALSE,632,44,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1422,22,,
